City;CODIGO;production_value;soy_production;average_yield;number_of_establishments
Novo Barreiro;4313490;20575;16920;3.6;357
Novo Cabrais;4313391;18065;18434;2.836;112
Novo Hamburgo;4313409;193;161;2.68333333333333;6
Novo Machado;4313425;32811;27417;2.47;472
Novo Tiradentes;4313441;9662;7920;3.3;95
Novo Xingu;4313466;15675;13500;3.6;219
Osório;4313508;3600;3600;2.4;6
Paim Filho;4313607;23328;19440;3.6;306
Palmares do Sul;4313656;14896;12250;3.5;14
Palmeira das Missões;4313706;386756;318100;3.51880530973451;669
Palmitinho;4313805;2285;1950;3;36
Panambi;4313904;152982;115841;3.9294776119403;476
Pantano Grande;4313953;52141;42420;2.1;76
Paraí;4314001;5583;4788;4.788;98
Paraíso do Sul;4314027;7056;7200;3;56
Parobé;4314050;13;12;3;1
Passa Sete;4314068;8232;8400;3.36;204
Passo do Sobrado;4314076;19181;15840;3.2;45
Passo Fundo;4314100;148133;133333;3.2520243902439;589
Paulo Bento;4314134;24267;22750;3.5;227
Paverama;4314159;1899;1800;3.6;26
Pedras Altas;4314175;50400;33600;2.1;98
Pedro Osório;4314209;22703;17464;1.96004489337823;35
Pejuçara;4314308;160760;120600;4.02;222
Pelotas;4314407;52272;43200;2.4;270
Picada Café;4314423;3;2;2;0
Pinhal;4314456;3660;3000;3;79
Pinhal da Serra;4314464;23375;18700;3.4;124
Pinhal Grande;4314472;80855;64520;3.3343669250646;345
Pinheirinho do Vale;4314498;3166;2700;2.7;46
Pinheiro Machado;4314506;10530;7020;2.34;35
Pirapó;4314555;22538;18030;3.27818181818182;82
Piratini;4314605;93366;70200;1.8;211
Planalto;4314704;6160;5250;2.5;95
Pontão;4314779;96789;82800;2.4;389
Ponte Preta;4314787;27144;20880;3.6;209
Porto Alegre;4314902;439;367;2.82307692307692;1
Porto Lucena;4315008;17084;13833;2.88007495315428;282
Porto Mauá;4315057;14174;11844;2.82;212
Porto Vera Cruz;4315073;1436;1200;3;28
Porto Xavier;4315107;5405;4350;3;87
Pouso Novo;4315131;42;36;3;5
Progresso;4315156;234;192;3;2
Protásio Alves;4315172;4581;3872;3.2;129
Putinga;4315206;1226;1080;3.6;10
Quaraí;4315305;608;450;1.5;2
Quatro Irmãos;4315313;90440;79800;4.2;184
Quevedos;4315321;117066;93600;3.6;118
Quinze de Novembro;4315354;44548;38570;3.8;313
Redentora;4315404;46694;38400;3;330
Relvado;4315453;735;648;3.6;8
Restinga Seca;4315503;76252;60636;2.5265;467
Rio dos Índios;4315552;34605;28800;3.6;238
Rio Grande;4315602;19627;16920;2.82;20
Rio Pardo;4315701;180415;140598;2.25882012724118;387
Roca Sales;4315800;7482;6480;3.6;124
Rodeio Bonito;4315909;12859;10890;3.3;185
Rolador;4315958;54173;45144;3.26184971098266;268
Ronda Alta;4316105;119399;98220;3.90381558028617;528
Rondinha;4316204;49868;42000;3.5;539
Roque Gonzales;4316303;30225;24180;3.1984126984127;289
Rosário do Sul;4316402;72576;67200;1.92;144
Sagrada Família;4316428;15322;12600;3.6;161
Saldanha Marinho;4316436;70752;57057;4.20309392265193;222
Salto do Jacuí;4316451;101181;81975;3.64333333333333;288
Salvador das Missões;4316477;14363;11560;3.4;156
Sananduva;4316600;98100;78480;3.6;1028
Santa Bárbara do Sul;4316709;372720;279610;4.0116212338594;549
